etX,Y,INTERSECTIONID,ROUTEID,MEASURE,INTERSECTIONNAME,GRADE,INTERSECTIONKEY,ACISA,OBJECTID
-76.9848031037028,38.9203130349828,12030422_47049452_47055492,47049452,49.01300049,Alley-47049452 & DOWNING PL NE & Alley-47055492,,a34610a0416df07b0d7454153b764e5c,,3881163
-76.9998696344175,38.877533501693,13053492_47088372,47088372,163.82099915,Alley-47088372 & L ST SE,10,fbee288976ebc7a049571a05c077f6ce,,3881164
-76.9721672610468,38.9155691736125,12002402_12084562,12002402,792.00598145,24TH ST NE & T ST NE,11,012cf6b92b6c5702814e3f4c17ef68df,,3881165
-77.0356531342134,38.9567576378525,47015402_47028282_47062402,47015402,0,Alley-47015402 & Alley-47028282 & Alley-47062402,10,378553ae3b1b321a35af6a28b4a255d5,,3881166
-76.9835933841427,38.8670671965368,13061162_47084772,47084772,0,Alley-47084772 & MINNESOTA AVE SE,,dd3aa0568632fa939add1efed34dbec2,,3881167
-76.9955794983228,38.8870468709234,47039502_47055572_47055582,47039502,0,Alley-47039502 & Alley-47055572 & Alley-47055582,,3a4db06764efee2d51f91b8099d97478,,3881168
-76.9908670008694,38.8724012125543,13001102_63010542,63010542,2202.86791992,ANACOSTIA RIVER TRAIL WEST SE & 11TH ST SE,,77e5a8edf2fa112f9810d17b9c68b40a,,3881169
-76.9667557447798,38.8679045883969,13002832_47013002,47013002,46.00899887,Alley-47013002 & 28TH PL SE,,450ee7bd268acde06ded7bf8cdb32e5c,,3881170
-76.9967915320264,38.9274269131001,12043032_47088472,12043032,83.5510025,HAMLIN ST NE & Alley-47088472,10,3613fcb800ae7d29c93dc9f0f9fdd4c7,,3881171
-77.037253443854,38.9488896834658,47026712_47033132_47082952,47026712,0,Alley-47026712 & Alley-47033132 & Alley-47082952,,927d33e4f539fe5a8cc9d82963426302,,3881172
-77.025658315171,38.9248965592792,11034582_11080082,11034582,359.60598755,FAIRMONT ST NW & SHERMAN AVE NW,13,70f24c9924395b690a4129b0aaccbcd8,5170,3881173
-77.0886349937232,38.9550642163166,11004502_47026512,11004502,2999.29492188,45TH ST NW & Alley-47026512,10,9815c471131aaf517f82cdde4811a3ad,,3881174
-77.026397283183,38.9723559705744,11011572_47066982,11011572,1055.54504395,ASPEN ST NW & Alley-47066982,10,88af961dbc84c98317bbc43100dbc9ff,,3881175
-76.9984499202436,38.8989185636014,12000602_12038612,12038612,603.47698975,G ST NE & 6TH ST NE,,98b231e2bd80ad292f4d56925c4836bf,,3881176
-76.9962918706839,38.8523999198806,13069972_58024932,13069972,546.42401123,PERSIMMON ST SE & Driveway-58024932,,8041bb2218943276ca5fc5050a5a6d57,,3881177
-76.9579568519939,38.8931802820395,47017812_47017912_47084722,47017812,82.09400177,Alley-47017812 & Alley-47084722 & Alley-47017912,10,ca24998345e16e2dbd99d49ac6919a20,,3881178
-77.0379636379208,38.9267253934105,11010792_58011952,11010792,139.85099792,ARGONNE PL NW & Driveway-58011952,10,4e69e4aa88b5284d818e1ebb106b6969,,3881179
-77.0133101973812,38.8302956177611,14000202_47058202,14000202,1901.0489502,2ND ST SW & Alley-47058202,,978018017ef345ff4e8aeac39ec87430,,3881180
-77.0586330089221,38.9415326848688,11002902_47037172,47037172,0,Alley-47037172 & 29TH ST NW,10,8c19d95222661ab3be249849a7d2e885,,3881181
-77.0663846824204,38.9261888619756,11003402_11038412,11038412,370.63299561,FULTON ST NW & 34TH ST NW,11,913a25bc732f86c6686478e8f9de4aed,,3881182
-77.0484208621763,38.9242444927927,11014272_61076772*1,11014272,518.32000732,BEACH DR NW & ROCK CREEK TRAIL NW,,13d3243c3e47337c3adce2f9778cfb95,,3881183
-77.0488492503667,38.8973675691387,11002202_11034382,11002202,256.27700806,22ND ST NW & F ST NW,13,96c6349102c07ecbf132ca2a83827478,1360,3881184
-77.0270483536353,38.9267569769605,11001102_11043742,11043742,581.25701904,HARVARD ST NW & 11TH ST NW,13,958129b9eca3aaf92ad09f3c39ee9a56,5026,3881185
-76.9393976809052,38.8764691925012,13019432_13045372,13045372,0,HILLSIDE RD SE & BURNS ST SE,12,14b8458a73af795d804e9cdebb2e2543,,3881186
-76.9961786507228,38.929416777044,12000702_12049272,12049272,94.18099976,JACKSON ST NE & 7TH ST NE,,344519ac8cb52d75f48911b4c44fa002,,3881187
-77.0155640673699,38.9453803988694,11000302_11009882,11009882,234.09899902,ALLISON ST NW & 3RD ST NW,,41dc81546abb7c919b476b2ef29507ff,,3881188
-76.9816800789526,38.9461733596192,12001702_12018782,12018782,1276.75500488,BUCHANAN ST NE & 17TH ST NE,11,6b7a6ef9b4ce827e583dbd97a1b1ae22,,3881189
-76.9242025698642,38.8830529332224,13005402_13026912,13005402,768.13598633,54TH ST SE & D ST SE,,7e062a3f5eabd42ae534128e65cac9cc,,3881190
-76.9360720162113,38.8888966554833,13004602_13008582,13004602,98.53299713,46TH ST SE & A ST SE,11,37127e2b933dc6365d39f185947afd12,,3881191
-76.9909065419794,38.8886582538619,43080652_47083912,47083912,0,Alley-47083912 & SLADENS LN SE,,7ab9fcc2e1a38c44824ce5611c625a4f,,3881192
-76.9575422537694,38.8799754285906,13037342_58019452,13037342,354.26199341,FORT DUPONT DR SE & Driveway-58019452,10,f3b531f31ec7d628e8513535eb9af983,,3881193
-77.002467632313,38.838011250545,13000402A_13087942,13087942,309.68499756,UPSAL ST SE & 4TH ST SE,11,6cd3eebec2ad16271baaacb71a23a1fa,,3881194
-76.9885078909389,38.8425157838497,13001302_58002082,58002082,161.67500305,Driveway-58002082 & 13TH ST SE,10,4b94fca660027c5a099fe01c9b6d2b52,,3881195
-77.0746997968489,38.922556010838,11020022_11086972,11020022,1628.91601563,CALVERT ST NW & TUNLAW RD NW,13,f282b412ba67d782f8910dde0f29356f,6056,3881196
-77.0115597029452,38.8228275652711,14016642_14059452,14059452,1334.22705078,MARTIN LUTHER KING JR AVE SW & BLUE PLAINS DR SW,11,d7209f9fd5318592739df4bf2161de6b,,3881197
-77.0386235616676,38.9372188561776,11001702_11070502,11001702,4861.65917969,17TH ST NW & PINEY BRANCH PKWY NW,11,b0a4e5db3bec81747a97394dfaf8dc8e,,3881198
-77.0083562938635,38.9587365041162,12058372_47027552,47027552,0,Alley-47027552 & MADISON ST NE,,6557e94ea92cad295b6874819829ae8e,,3881199
-76.9961696083577,38.9002126522711,12000702_12042442,12042442,1118.64697266,H ST NE & 7TH ST NE,13,900b93bc58fc89418e83c80a920d2e6b,3079,3881200
-77.0426832759035,38.9072505045676,11063182_47027972,11063182,2678.0090332,N ST NW & Alley-47027972,10,f83e154165d6b7053b4fa19c22c69643,,3881201
-76.9746425493178,38.8752494536181,13069812_36005452,13069812,2860.54101563,PENNSYLVANIA AVE SE & Ramp-36005452,0,f96ea7dd31637d31076800ea6497a29e,,3881202
-77.030401860561,38.9140977052483,11077672_47065862,47065862,0,Alley-47065862 & S ST NW,10,e8529ab5a8152dd3e4c94b1628b11b82,,3881203
-77.0136399257926,38.9471731433923,58003202_58008402_58009342_58009642,58009642,0,Driveway-58009642 & Driveway-58003202 & Driveway-58008402 & Driveway-58009342,10,9bdf4a45475caea50ca62e256c489f90,,3881204
-76.9861602614033,38.8544918985755,13033212_58001842,13033212,453.58898926,ELVANS RD SE & Driveway-58001842,10,a05a787c5b1841aecdca9e37617904f0,,3881205
-76.9491709909448,38.8771972023337,13037212_58024822,13037212,542.25,FORT DAVIS DR SE & Driveway-58024822,,7da50bf695be4a416bf5da32079e6213,,3881206
-76.9316965827765,38.9085330448686,12004902_12073122,12073122,666.76000977,QUARLES ST NE & 49TH ST NE,12,5fefedf08b8d60add4c33661cfc6ebf0,,3881207
-77.0748282413082,38.9202947842532,47027092_47036562_47080412,47080412,36.67100143,Alley-47080412 & Alley-47027092 & Alley-47036562,10,965b13160d3e00b1f018343584d333a1,,3881208
-77.0652979809855,38.9598129907686,11050112_47048772,47048772,0,Alley-47048772 & JOCELYN ST NW,,6545764f22d00a39a0c63a4c830d3104,,3881209
-77.0663865082806,38.9290171121726,11003402_11020992,11020992,2032.9909668,CATHEDRAL AVE NW & 34TH ST NW,11,3af2ca49d8e0acc9ab77a603eedddefa,,3881210
-77.0824087655047,38.9458454101041,11004202_47080742,11004202,1123.32800293,42ND ST NW & Alley-47080742,,51abf085a52ce9a57c095b2dd5b7b946,,3881211
-76.9756664255362,38.8902297018621,25031912_58010512_58010592,25031912,358.02200317,EAST CAPITOL ST NE Service Rd & Driveway-58010512 & Driveway-58010592,10,8d92cacf7f9f84229dfa6946c26f7c4e,,3881212
-76.9737111285409,38.8726857448122,47026292_47042732_47073732,47042732,57.33000183,Alley-47042732 & Alley-47026292 & Alley-47073732,,5782cb875d900e63bff427a0f635bca2,,3881213
-76.9326459235646,38.9087699300065,47087942_47089502,47087942,34.84799957,Alley-47087942 & Alley-47089502,,22a5b730bf8484f6729b479654f52296,,3881214
-76.9915241690023,38.9033258761885,12001102_12036722,12036722,1732.27600098,FLORIDA AVE NE & 11TH ST NE,13,55c591e5d836bd8c8551874e1926500d,3456,3881215
-76.9796965407946,38.9452561147948,12009882_47083122,12009882,710.88897705,ALLISON ST NE & Alley-47083122,10,85b07de2d43adacfdb925ae3105204f2,,3881216
-77.0183180239165,38.9559653896651,47005742_47070852_47084492,47084492,0,Alley-47084492 & Alley-47005742 & Alley-47070852,10,484f906ebc03f467f18e0a14590d8633,,3881217
